segmentid,ObservationTime
1548812,2020-07-01 00:03:00,2020-07-01 12:18:00,2020-07-01 12:23:00,
5874022,2020-07-01 00:03:00,2020-07-01 00:08:00,2020-07-01 00:14:00,2020-07-01 07:43:00,2020-07-01 09:33:00,2020-07-01 17:18:00,2020-07-01 23:23:00,
5873980,2020-07-01 00:03:00,2020-07-01 03:49:00,2020-07-01 03:53:00,2020-07-01 13:33:00,2020-07-01 23:53:00,
646944,2020-07-01 00:08:00,
4124232,2020-07-01 00:08:00,2020-07-01 00:14:00,2020-07-01 21:28:00,2020-07-01 21:33:00,2020-07-01 21:38:00,2020-07-01 21:43:00,
1602678,2020-07-01 00:08:00,2020-07-01 01:08:00,2020-07-01 01:48:00,2020-07-01 01:53:00,2020-07-01 01:58:00,2020-07-01 20:48:00,
5859013,2020-07-01 00:14:00,
1555064,2020-07-01 00:18:00,2020-07-01 00:23:00,2020-07-01 06:08:00,2020-07-01 06:13:00,2020-07-01 07:58:00,2020-07-01 08:03:00,2020-07-01 09:18:00,2020-07-01 19:38:00,2020-07-01 20:08:00,
5605489,2020-07-01 00:18:00,2020-07-01 00:23:00,2020-07-01 00:28:00,
645872,2020-07-01 00:18:00,2020-07-01 00:23:00,2020-07-01 00:28:00,2020-07-01 07:28:00,2020-07-01 07:33:00,2020-07-01 08:38:00,2020-07-01 08:43:00,2020-07-01 08:48:00,2020-07-01 08:53:00,2020-07-01 09:23:00,2020-07-01 09:28:00,2020-07-01 09:33:00,2020-07-01 09:38:00,2020-07-01 09:43:00,2020-07-01 09:48:00,2020-07-01 11:13:00,2020-07-01 11:23:00,2020-07-01 11:28:00,2020-07-01 14:53:00,2020-07-01 14:58:00,2020-07-01 15:03:00,2020-07-01 15:08:00,2020-07-01 15:13:00,2020-07-01 15:18:00,2020-07-01 16:13:00,2020-07-01 16:18:00,2020-07-01 16:23:00,2020-07-01 16:33:00,2020-07-01 16:38:00,2020-07-01 17:08:00,2020-07-01 17:13:00,2020-07-01 17:18:00,2020-07-01 17:23:00,2020-07-01 17:28:00,2020-07-01 17:33:00,2020-07-01 18:23:00,2020-07-01 18:33:00,2020-07-01 18:53:00,2020-07-01 18:58:00,
1575605,2020-07-01 00:23:00,2020-07-01 00:28:00,2020-07-01 00:34:00,2020-07-01 00:39:00,2020-07-01 17:33:00,
1575604,2020-07-01 00:23:00,2020-07-01 00:28:00,2020-07-01 00:34:00,2020-07-01 00:39:00,
645873,2020-07-01 00:23:00,2020-07-01 00:28:00,2020-07-01 00:34:00,2020-07-01 00:39:00,
5659489,2020-07-01 00:23:00,2020-07-01 00:28:00,2020-07-01 00:34:00,2020-07-01 00:39:00,
5659490,2020-07-01 00:23:00,2020-07-01 00:28:00,2020-07-01 00:34:00,2020-07-01 00:39:00,
644457,2020-07-01 00:23:00,2020-07-01 21:23:00,2020-07-01 21:28:00,2020-07-01 21:33:00,2020-07-01 21:38:00,
1575603,2020-07-01 00:23:00,2020-07-01 00:28:00,2020-07-01 00:34:00,2020-07-01 00:39:00,
