SegmentsId,ObservationTime,Accident Time
1430500,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
1430499,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
1430498,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
1430497,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
1430496,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
903582,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
903583,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
903584,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
1430506,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
1430507,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
1430508,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32
3542447,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04
3542446,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04
3542445,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04
3746408,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
3746407,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
3746406,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
3746410,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
3746411,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673777,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673778,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673779,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673780,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673770,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673771,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673772,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
1673773,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10
3789083,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48
3337443,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48
3337447,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48
35307,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57
477772,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57
477774,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57
37686,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57
40377,['2021-01-04 17:53:00', '2021-01-04 18:13:00'],2021-01-04 17:57:06
506070,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26
506072,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26
506073,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26
506074,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26
636347,['2021-01-04 17:48:00', '2021-01-04 17:58:00'],2021-01-04 17:57:06
506069,['2021-01-04 17:28:00', '2021-01-04 18:03:00'],2021-01-04 17:57:06
1467481,['2021-01-04 17:13:00', '2021-01-04 17:23:00'],2021-01-04 17:16:48
528338,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
528339,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
1746866,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
1746867,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
623419,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
623418,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
623417,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
623416,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
623415,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
623414,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
623413,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06
1573853,['2021-01-04 17:48:00', '2021-01-04 17:58:00'],2021-01-04 17:57:06
3522357,['2021-01-04 17:53:00', '2021-01-04 18:08:00'],2021-01-04 17:57:06
2648039,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26
