SegmentsId,ObservationTime,AccidentTimeTwitter,AccidentTimeISSD
623423,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
623424,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623425,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623426,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623427,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623428,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623429,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623430,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 08:58:00
623431,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
623432,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
903581,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430505,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430504,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430503,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430502,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430501,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430500,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:14:00
1430499,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430498,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
1430497,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430496,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
903582,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:08:00
903583,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
903584,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430506,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430507,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:03:00
1430508,['2021-01-04 08:58:00', '2021-01-04 09:18:00'],2021-01-04 08:58:32,2021-01-04 09:18:00
3542447,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
3542446,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
3542445,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 10:02:04,2021-01-04 09:58:00
3746408,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
3746407,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
3746406,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:18:00
3746410,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
3746411,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:33:00
1673777,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673778,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673779,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673780,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:23:00
1673770,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:48:00
1673771,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:43:00
1673772,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:28:00
1673773,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:20:10,2021-01-04 11:43:00
3789083,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48,2021-01-04 14:23:00
3337443,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48,2021-01-04 14:18:00
3337447,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:26:48,2021-01-04 14:18:00
35307,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:28:00
477772,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:23:00
477774,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:23:00
37686,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:19:57,2021-01-04 17:23:00
40377,['2021-01-04 17:53:00', '2021-01-04 18:13:00'],2021-01-04 17:57:06,2021-01-04 17:58:00
506070,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
506072,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
506073,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
506074,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:13:00
636347,['2021-01-04 17:48:00', '2021-01-04 17:58:00'],2021-01-04 17:57:06,2021-01-04 17:58:00
506069,['2021-01-04 17:28:00', '2021-01-04 18:03:00'],2021-01-04 17:57:06,2021-01-04 18:03:00
1467481,['2021-01-04 17:13:00', '2021-01-04 17:23:00'],2021-01-04 17:16:48,2021-01-04 17:13:00
528338,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
528339,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:53:00
1746866,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
1746867,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:13:00
623419,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
623418,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
623417,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:38:00
623416,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:13:00
623415,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:13:00
623414,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 17:43:00
623413,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:57:06,2021-01-04 18:03:00
1573853,['2021-01-04 17:48:00', '2021-01-04 17:58:00'],2021-01-04 17:57:06,2021-01-04 17:48:00
3522357,['2021-01-04 17:53:00', '2021-01-04 18:08:00'],2021-01-04 17:57:06,2021-01-04 18:08:00
2648039,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:16:26,2021-01-04 18:08:00
