SegmentsId,ObservationTime
911951,[['06:23:00', '06:43:00']]
911952,[['06:23:00', '06:43:00']]
911953,[['06:23:00', '06:43:00']]
1529345,[['06:23:00', '06:43:00']]
190297,[['06:28:00', '06:48:00']]
443792,[['06:28:00', '06:48:00']]
1521668,[['06:28:00', '06:48:00']]
1521669,[['06:28:00']]
1521760,[['06:28:00', '06:53:00']]
1971228,[['06:28:00', '06:33:00'], ['10:28:00', '10:43:00']]
3739453,[['06:28:00', '06:53:00']]
3788443,[['06:28:00']]
231824,[['06:33:00', '06:58:00']]
336957,[['06:33:00', '06:53:00']]
336958,[['06:33:00']]
412825,[['06:33:00', '06:53:00']]
628509,[['06:33:00', '06:43:00']]
1547436,[['06:33:00', '06:53:00']]
21164,[['06:38:00', '06:58:00']]
75816,[['06:38:00', '07:03:00']]
237572,[['06:38:00', '07:03:00']]
1480110,[['06:38:00', '06:58:00']]
1552799,[['06:38:00', '06:58:00']]
1552800,[['06:38:00', '06:58:00']]
152985,[['06:43:00', '07:08:00']]
333898,[['06:43:00', '07:03:00']]
1208049,[['06:43:00']]
1381815,[['06:43:00', '07:03:00']]
2621889,[['06:43:00', '07:03:00']]
2621890,[['06:43:00', '07:03:00']]
3564775,[['06:43:00', '06:48:00']]
60783,[['06:48:00', '07:08:00']]
69781,[['06:48:00', '07:08:00']]
2955167,[['06:48:00', '07:03:00']]
3521470,[['06:48:00']]
952660,[['06:53:00', '07:13:00']]
1534830,[['06:53:00', '06:58:00']]
1822334,[['06:53:00', '07:13:00']]
3767407,[['06:53:00', '06:58:00']]
69544,[['06:58:00', '07:19:00'], ['23:53:00']]
170905,[['06:58:00', '07:19:00']]
320073,[['06:58:00', '07:03:00']]
521771,[['06:58:00', '07:23:00']]
3788327,[['06:58:00', '07:13:00']]
147327,[['07:03:00', '07:19:00']]
203541,[['07:03:00', '07:23:00']]
234116,[['07:03:00', '07:13:00']]
345601,[['07:03:00', '07:23:00']]
345602,[['07:03:00', '07:23:00']]
364346,[['07:03:00', '07:28:00']]
991707,[['07:03:00', '07:08:00']]
1069941,[['07:03:00']]
1204527,[['07:03:00', '07:23:00']]
2000239,[['07:03:00', '07:19:00']]
115955,[['07:08:00', '07:19:00']]
168009,[['07:08:00', '07:23:00']]
1138445,[['07:08:00', '07:23:00']]
1195815,[['07:08:00', '07:19:00']]
1307361,[['07:08:00']]
1511219,[['07:08:00', '07:33:00']]
1521769,[['07:08:00', '07:13:00']]
1521846,[['07:08:00']]
1553606,[['07:08:00', '07:33:00']]
3729442,[['07:08:00', '07:28:00']]
5866,[['07:13:00', '07:19:00']]
296199,[['07:13:00', '07:38:00']]
362826,[['07:13:00', '07:33:00']]
3944384,[['07:13:00', '07:19:00']]
234255,[['07:19:00', '07:28:00']]
422155,[['07:19:00', '07:23:00']]
1295524,[['07:19:00', '07:44:00']]
