SegmentsId,ObservationTime,Accident Time
109,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:18:00
110,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:18:00
120,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:13:00
121,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:43:00
122,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:13:00
123,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:18:00
124,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:18:00
125,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:33:00
1400849,['2021-01-04 10:53:00', '2021-01-04 11:03:00'],2021-01-04 11:03:00
1400848,['2021-01-04 10:53:00', '2021-01-04 11:03:00'],2021-01-04 11:03:00
1404878,['2021-01-04 10:53:00', '2021-01-04 11:03:00'],2021-01-04 10:58:00
1404877,['2021-01-04 10:53:00', '2021-01-04 11:03:00'],2021-01-04 10:58:00
1404876,['2021-01-04 10:53:00', '2021-01-04 11:03:00'],2021-01-04 10:58:00
1404875,['2021-01-04 10:53:00', '2021-01-04 11:03:00'],2021-01-04 10:58:00
3542447,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 09:58:00
3542446,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 09:58:00
3542445,['2021-01-04 09:58:00', '2021-01-04 10:13:00'],2021-01-04 09:58:00
3746408,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:28:00
3746407,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:28:00
3746406,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:18:00
3746410,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:28:00
3746411,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:33:00
1673777,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:23:00
1673778,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:23:00
1673779,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:23:00
1673780,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:23:00
1673770,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:48:00
1673771,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:43:00
1673772,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:28:00
1673773,['2021-01-04 11:18:00', '2021-01-04 11:48:00'],2021-01-04 11:43:00
3789083,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:23:00
3337443,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:18:00
3337447,['2021-01-04 14:18:00', '2021-01-04 14:38:00'],2021-01-04 14:18:00
35307,['2021-01-04 16:53:00', '2021-01-04 17:03:00'],2021-01-04 17:03:00
35308,['2021-01-04 16:53:00', '2021-01-04 17:03:00'],2021-01-04 16:53:00
477772,['2021-01-04 16:53:00', '2021-01-04 17:03:00'],2021-01-04 16:53:00
477774,['2021-01-04 16:53:00', '2021-01-04 17:03:00'],2021-01-04 17:03:00
37686,['2021-01-04 17:18:00', '2021-01-04 17:28:00'],2021-01-04 17:23:00
37685,['2021-01-04 16:53:00', '2021-01-04 17:03:00'],2021-01-04 16:58:00
40377,['2021-01-04 17:53:00', '2021-01-04 18:13:00'],2021-01-04 17:58:00
506074,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:28:00
506073,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:28:00
506072,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:28:00
506071,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:28:00
506070,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:28:00
636346,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:33:00
636347,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:28:00
636348,['2021-01-04 19:38:00', '2021-01-04 20:28:00'],2021-01-04 19:38:00
636349,['2021-01-04 19:38:00', '2021-01-04 20:28:00'],2021-01-04 20:18:00
636350,['2021-01-04 19:38:00', '2021-01-04 20:28:00'],2021-01-04 20:13:00
636351,['2021-01-04 19:38:00', '2021-01-04 20:28:00'],2021-01-04 19:38:00
1583537,['2021-01-04 19:38:00', '2021-01-04 20:28:00'],2021-01-04 19:48:00
1583538,['2021-01-04 19:38:00', '2021-01-04 20:28:00'],2021-01-04 19:43:00
1583539,['2021-01-04 19:38:00', '2021-01-04 20:28:00'],2021-01-04 19:38:00
506058,['2021-01-04 16:33:00', '2021-01-04 17:03:00'],2021-01-04 16:33:00
506068,['2021-01-04 16:33:00', '2021-01-04 17:03:00'],2021-01-04 16:48:00
506069,['2021-01-04 16:33:00', '2021-01-04 17:03:00'],2021-01-04 16:48:00
1467481,['2021-01-04 17:13:00', '2021-01-04 17:23:00'],2021-01-04 17:13:00
3774647,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
3774646,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
3774649,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:28:00
1583628,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:33:00
1460850,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:28:00
1460849,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
1460848,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:28:00
1460847,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
67238,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
67240,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
624689,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
476616,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
3781674,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:28:00
3781675,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:28:00
2648036,['2021-01-04 17:23:00', '2021-01-04 17:33:00'],2021-01-04 17:23:00
229403,['2021-01-04 19:38:00', '2021-01-04 19:48:00'],2021-01-04 19:38:00
229405,['2021-01-04 19:38:00', '2021-01-04 19:48:00'],2021-01-04 19:38:00
2449049,['2021-01-04 17:28:00', '2021-01-04 17:43:00'],2021-01-04 17:28:00
649171,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:03:00
649170,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:13:00
649169,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:13:00
649168,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:13:00
521692,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:13:00
521693,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:03:00
528338,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:38:00
528339,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:53:00
1746866,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:38:00
1746867,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 18:13:00
623419,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:38:00
623418,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:38:00
623417,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:38:00
623416,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 18:13:00
623415,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 18:13:00
623414,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 17:43:00
623413,['2021-01-04 17:38:00', '2021-01-04 18:19:00'],2021-01-04 18:03:00
1573853,['2021-01-04 17:48:00', '2021-01-04 17:58:00'],2021-01-04 17:48:00
3522357,['2021-01-04 17:53:00', '2021-01-04 18:08:00'],2021-01-04 18:08:00
2648039,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:08:00
2648040,['2021-01-04 20:13:00', '2021-01-04 20:23:00'],2021-01-04 20:18:00
2648041,['2021-01-04 17:58:00', '2021-01-04 18:19:00'],2021-01-04 18:03:00
2159136,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:13:00
2159135,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:03:00
2159134,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:03:00
2159133,['2021-01-04 18:03:00', '2021-01-04 18:13:00'],2021-01-04 18:03:00
3597939,['2021-01-04 19:58:00', '2021-01-04 20:08:00'],2021-01-04 19:58:00
3597942,['2021-01-04 19:43:00', '2021-01-04 20:03:00'],2021-01-04 19:48:00
3597941,['2021-01-04 19:43:00', '2021-01-04 20:03:00'],2021-01-04 19:43:00
1495590,['2021-01-04 19:43:00', '2021-01-04 19:53:00'],2021-01-04 19:53:00
1369590,['2021-01-04 22:28:00', '2021-01-04 22:38:00'],2021-01-04 22:38:00
1369589,['2021-01-04 22:28:00', '2021-01-04 22:38:00'],2021-01-04 22:28:00
1369588,['2021-01-04 22:28:00', '2021-01-04 22:38:00'],2021-01-04 22:28:00
1369587,['2021-01-04 22:28:00', '2021-01-04 22:38:00'],2021-01-04 22:33:00
1518292,['2021-01-04 22:28:00', '2021-01-04 22:38:00'],2021-01-04 22:38:00
3544415,['2021-01-04 22:58:00', '2021-01-04 23:08:00'],2021-01-04 23:03:00
