SegmentID,IntersectingSegments
656370,656369,
656369,656368,
656368,656289,
656289,656288,
656288,656287,
656287,656286,
656286,1556889,
1556889,1556888,
1556888,1556895,
1556895,1556894,
1556894,1556924,
1556924,1556923,
1556923,5635817,
5635817,5635816,
5635816,5635815,
5635815,1554786,
1554786,1554785,
1554785,1554784,
1554784,1554779,
1554779,656266,
656266,656265,
656265,656264,
656264,656263,
656263,656262,
656262,656261,
656261,656260,
656260,656259,
656259,656258,
656258,656257,
656257,655454,
655454,655453,
655453,1556479,
1556479,1556481,
1556481,1556480,
1556480,1556478,
1556478,655447,
655447,655446,
655446,655450,
655450,655449,
655449,655448,
655448,5678204,
5678204,2557873,
2557873,2557874,
2557874,655443,
655443,655442,
655442,769712,
769712,769711,
769711,769710,
769710,769714,
769714,769713,
769713,655441,
655441,655440,
655440,2167737,
2167737,2167736,
2167736,2167735,
2167735,2167734,
2167734,2167733,
2167733,893920,
893920,6728989,
6728989,6728988,
6728988,6728987,
6728987,646354,
646354,794023,
794023,794022,
794022,1555266,
1555266,1555267,
1555267,1555273,
1555273,1555279,
1555279,1555278,
1555278,1555277,
1555277,1555276,
1555276,1555275,
1555275,1554772,
1554772,1554773,
1554773,1554763,
1554763,1554762,
1554762,1554765,
1554765,1554764,
1554764,784846,
784846,784845,
784845,646932,
646932,646931,
646931,646928,
646928,646930,
646930,646929,
646929,793356,
793356,793355,
793355,784827,
784827,784826,
784826,5618318,
5618318,5618317,
5618317,5618319,
5618319,646324,
646324,646317,
646317,646316,
646316,646315,
646315,646314,
646314,646313,
646313,646312,
646312,646311,
646311,646310,
646310,5976360,
5976360,6991423,
6991423,6991425,
6991425,6991424,
6991424,397730,
397730,397729,
397729,397728,
397728,397735,
397735,397747,
397747,398456,
398456,398455,
398455,398576,
398576,398575,
398575,398574,
398574,398573,
398573,646307,
646307,646306,
646306,646305,
646305,646588,
646588,646583,646587,
646583,387772,
387772,387771,
387771,5598152,
5598152,5598151,
5598151,5598150,
5598150,5598149,
5598149,646972,
646972,646971,
646971,646970,
646970,646969,
646969,646968,
646968,646967,
646967,646966,
646966,646965,
646965,647462,
647462,647461,
647461,647460,
647460,1579108,
1579108,1579107,
1579107,1579106,
1579106,1579105,
1579105,1579104,
1579104,1579103,
1579103,1579102,
1579102,392043,
392043,647457,
647457,1579101,
1579101,1579100,
1579100,1579099,
1579099,1579098,
1579098,1579097,
1579097,1579096,
1579096,1579095,
1579095,1576136,
1576136,1576135,
1576135,1576134,
1576134,1576133,
1576133,1576132,
1576132,1576131,
1576131,1576130,
1576130,656853,
656853,656852,
656852,893909,
893909,1579749,
1579749,1579748,
1579748,1579747,
1579747,1579746,
1579746,1579745,
1579745,647470,
647470,647469,
647469,647468,
647468,647467,
647467,1577860,
1577860,1577859,
1577859,1577858,
1577858,1577857,
1577857,1577874,
1577874,1577863,
1577863,1577862,
1577862,1577861,
1577861,646918,
646918,646917,
646917,646916,
646916,646915,
646915,646914,
646914,646913,
646913,646912,
646912,646911,
646911,646910,
646910,646909,
646909,646908,
646908,646907,
646907,3483687,
3483687,3483686,
3483686,3483685,
3483685,3483684,
3483684,3483683,
3483683,3483682,
3483682,3483681,
3483681,3483680,
3483680,1577410,
1577410,1577416,
1577416,1577418,
1577418,1577417,
1577417,794027,
794027,794026,
794026,1576162,
1576162,1576161,
1576161,1576160,
1576160,1576159,
1576159,1553054,
1553054,1553053,
1553053,1553052,
1553052,646893,1553046,
646893,646892,
646892,1553039,
1553039,1553038,
1553038,1553037,
1553037,2141311,
2141311,2141310,
2141310,2141309,
2141309,2141308,
2141308,2141307,
2141307,1553011,
1553011,1553010,
1553010,1553009,
1553009,1553008,
1553008,1553025,
1553025,1553030,
1553030,1553029,
1553029,1553034,
1553034,2141265,
2141265,2141264,
2141264,2141263,
2141263,2141268,
2141268,2141267,
2141267,2141266,
2141266,2141276,
2141276,2141275,
2141275,2141274,
2141274,2141273,
2141273,1569456,
1569456,1569455,
1569455,1569454,
1569454,1569453,
1569453,1569452,
1569452,646537,
646537,646536,
646536,646535,
646535,646534,
646534,646533,
646533,646532,
646532,646531,
646531,646530,
646530,646529,
646529,6909384,
6909384,6909383,
6909383,6909382,
6909382,6909381,
6909381,6909380,
6909380,6909379,
6909379,6909378,
6909378,6909377,
6909377,6909376,
6909376,1576727,
1576727,1576726,
1576726,1576725,
1576725,6117036,
6117036,6117035,
6117035,1576665,1576664,
1576665,1576724,
1576724,1576723,
1576723,2173655,
2173655,2173654,
2173654,2162491,
2162491,2162490,
2162490,2162489,
2162489,2162488,
2162488,890160,
890160,890159,
890159,890158,
890158,890162,
890162,890161,
890161,789761,
789761,789760,
789760,789759,
789759,789758,
789758,789757,
789757,789763,
789763,789762,
789762,789765,
789765,789764,
789764,789769,
789769,789768,
789768,789767,
789767,789766,
789766,789385,
789385,789384,
789384,789383,
789383,789735,
789735,904502,
904502,825198,
825198,825197,
825197,825196,
825196,825195,
825195,1575233,
1575233,1575235,
1575235,1575234,
1575234,794042,
794042,1575231,
1575231,1575232,
1575232,791626,
791626,791625,
791625,791640,
791640,791639,
791639,791638,
791638,6564925,
6564925,6564924,
6564924,791635,
791635,1555136,
1555136,1555135,
1555135,1555137,
1555137,5503313,
5503313,5503312,
5503312,5503311,
5503311,5503314,
5503314,791644,
791644,792183,
792183,792182,
792182,792184,
792184,792186,
792186,2188873,
2188873,2188875,
2188875,2188874,
2188874,792176,
792176,792178,
792178,792177,
792177,791666,
791666,792179,
792179,792181,
792181,792180,
792180,791678,
791678,791677,
791677,2137162,
2137162,2137164,
2137164,2137163,
2137163,
1553046,1553049,1553045,
1553045,1553041,
1553041,646891,
646891,646890,
646890,1559519,
1559519,1548804,
1548804,1548803,
1548803,2203930,
2203930,1548805,1548802,
1548805,2203932,
2203932,2203933,
2203933,1548812,6109523,
1548812,1548811,
1548811,1548817,
1548817,1548816,
1548816,1548815,
1548815,1559374,
1559374,1559373,
1559373,646894,
646894,796743,
796743,796742,
796742,796741,
796741,1558435,
1558435,1558434,
1558434,1558433,
1558433,1558432,
1558432,657237,
657237,657236,
657236,1550309,
1550309,1550319,
1550319,1550320,1550318,
1550320,1551058,1550313,
1551058,1551057,
1551057,1550302,
1550302,1550301,
1550301,1550198,
1550198,1550197,
1550197,1550196,
1550196,1549567,
1549567,646277,
646277,646276,
646276,646275,
646275,2196248,
2196248,2196247,
2196247,2196246,
2196246,2196245,
2196245,2196244,
2196244,396247,
396247,2161204,2164509,
2161204,2161205,
2161205,1557300,
1557300,1557302,
1557302,1557303,
1557303,1557291,1557290,
1557291,5582023,
5582023,5582026,
5582026,5582025,
5582025,5582024,
5582024,5545219,
5545219,5545218,
5545218,5545217,
5545217,5545216,
5545216,5545221,
5545221,5545220,
5545220,2157404,
2157404,2157400,2157403,
2157400,2157412,
2157412,2157413,2157414,
2157413,5843132,
5843132,5849969,
5849969,5849968,
5849968,5849967,
5849967,5843131,
5843131,5843130,
5843130,5843129,
5843129,5843128,
5843128,5843127,
5843127,5843126,
5843126,5843125,
5843125,5843124,
5843124,1591994,
1591994,1592002,
1592002,1592001,
1592001,1592000,
1592000,1591999,
1591999,1591998,
1591998,1591997,
1591997,1591996,
1591996,1591995,
1591995,1586363,
1586363,1586362,
1586362,1586366,
1586366,1586365,
1586365,1586364,
1586364,1586333,
1586333,1586332,
1586332,1586331,
1586331,1586330,
1586330,1586334,
1586334,381091,
381091,1586329,
1586329,1596882,
1596882,1596881,
1596881,1596880,
1596880,
1596841,1596840,
1596840,1596839,
1596839,381052,
381052,1586336,
1586336,1586335,
1586335,1587081,
1587081,1587080,
1587080,1587079,
1587079,1587078,
1587078,1587077,
1587077,1587076,
1587076,1587083,
1587083,1587082,
1587082,1591863,
1591863,1591862,
1591862,1591861,
1591861,1591860,
1591860,1591859,
1591859,1591858,
1591858,1591857,
1591857,1591856,
1591856,6140633,
6140633,6140632,
6140632,6140640,
6140640,6140639,
6140639,6140638,
6140638,6140637,
6140637,6140636,
6140636,6140635,
6140635,6140634,
6140634,5843082,
5843082,5843081,
5843081,5843093,
5843093,5843092,
5843092,5843091,
5843091,2157415,
2157415,2157411,1589186,
2157411,2157410,
2157410,5552610,2157405,
5552610,5552609,
5552609,5552608,
5552608,5552607,
5552607,5552606,
5552606,5552605,
5552605,5575107,
5575107,5575106,
5575106,5575105,
5575105,5575104,
5575104,5575103,
5575103,1557292,
1557292,1557294,1557293,
1557294,1557296,
1557296,1557295,
1557295,1557306,1557289,
1557306,1549519,
1549519,1549518,
1549518,1549547,
1549547,1549546,
1549546,1549545,
1549545,1549544,
1549544,1550256,
1550256,1550255,
1550255,1550254,
1550254,1550253,
1550253,1550281,
1550281,1550280,
1550280,1550279,
1550279,1550303,
1550303,1550314,
1550314,1551056,1550315,
1551056,1551053,1551055,
1551053,1551052,
1551052,1550308,
1550308,646906,
646906,646905,
646905,1558523,
1558523,1558522,
1558522,1558525,
1558525,1558524,
1558524,1557946,
1557946,1557945,
1557945,1557944,
1557944,396286,
396286,646896,
646896,646895,
646895,646898,
646898,646897,
646897,1548810,
1548810,1548809,
1548809,1548808,
1548808,2203927,
2203927,2203928,1548806,
2203928,2203929,
2203929,1548799,2203931,
1548799,1559521,
1559521,1559520,
1559520,1557353,
1557353,1557352,
1557352,646889,
646889,1553042,
1553042,1553050,
1553050,1553048,1553051,
1553051,1553052,
1576664,6117034,1576661,
1576661,873539,
873539,873538,
873538,873537,
873537,873536,
873536,791120,
791120,6609775,791119,
6609775,6609776,
6609776,893279,6117029,
893279,1577350,
1577350,1577349,
1577349,1577348,
1577348,1577347,
1577347,1577346,
1577346,1577345,
1577345,1577344,
1577344,1576736,
1576736,1576735,
1576735,6117042,1576731,
6117042,6117041,
6117041,3591454,
3591454,3591463,
3591463,3591462,
3591462,3591461,
3591461,3591460,
3591460,3591459,
3591459,3591458,
3591458,3591457,
3591457,3591456,
3591456,3591455,
3591455,3591450,
3591450,3591449,
3591449,3591448,
3591448,3591439,
3591439,3591438,
3591438,3591437,
3591437,3591436,
3591436,3591435,
3591435,3591434,
3591434,1566910,
1566910,4134779,
4134779,4134778,
4134778,4134777,
4134777,4134776,
4134776,4134775,
4134775,4134774,
4134774,1557860,1557859,
1557860,5618139,1557865,
5618139,5618138,
5618138,5618137,
5618137,5618136,
5618136,5618146,
5618146,5618145,
5618145,5618144,
5618144,5618143,
5618143,5618142,
5618142,5618141,
5618141,5618140,
5618140,6109694,
6109694,6109693,
6109693,6109692,
6109692,6109691,
6109691,6109695,
6109695,4124267,
4124267,4124232,4124265,
4124232,4124231,
4124231,4124230,
4124230,4124229,
4124229,4124228,
4124228,4124227,
4124227,4124226,
4124226,4124225,
4124225,4124224,
4124224,4124223,
4124223,4124222,
4124222,5697028,
5697028,5697027,
5697027,5697026,
5697026,5697025,
5697025,5697024,
5697024,5697023,
5697023,5697022,
5697022,5697021,
5697021,5697020,
5697020,5697019,
5697019,5697018,
5697018,5697039,
5697039,5697059,
5697059,5697058,
5697058,5697057,
5697057,5697056,
5697056,5697055,
5697055,5697054,
5697054,5697053,
5697053,5697079,
5697079,5697078,
5697078,5697077,
5697077,5697076,
5697076,5697075,
5697075,5697074,
5697074,5669320,
5669320,5669319,
5669319,5669318,
5669318,5669317,
5669317,5669316,
5669316,5669315,
5669315,5669314,
5669314,5669313,
5669313,5669312,
5669312,5669311,
5669311,5669310,
5669310,5669309,
5669309,5669308,
5669308,5669307,
5669307,5669306,
5669306,5669305,
5669305,5669304,
5669304,5669303,
5669303,5669302,
5669302,5669301,
5669301,5669300,
5669300,5669299,
5669299,5669298,
5669298,5669297,
5669297,5669284,
5669284,5669283,
5669283,5669282,
5669282,5669281,
5669281,5669280,
5669280,5669279,
5669279,5753500,
5753500,5753499,
5753499,5753498,
5753498,5753497,
5753497,5753496,
5753496,5753520,
5753520,5753519,
5753519,
5753449,5753448,
5753448,5753447,
5753447,5753457,
5753457,5753456,
5753456,5753455,
5753455,5753454,
5753454,5669278,
5669278,5669277,
5669277,5669276,
5669276,5669275,
5669275,5669274,
5669274,5669273,
5669273,5669271,
5669271,5669270,
5669270,5669269,
5669269,5669268,
5669268,5669267,
5669267,5669266,
5669266,5669265,
5669265,5669264,
5669264,5669263,
5669263,5669262,
5669262,5669261,
5669261,5669260,
5669260,5669259,
5669259,5669258,
5669258,5669257,
5669257,5669256,
5669256,5669255,
5669255,5669254,
5669254,5669253,
5669253,5669252,
5669252,5669251,
5669251,5669250,
5669250,5697073,
5697073,5697072,
5697072,5697071,
5697071,5697070,
5697070,5697069,
5697069,5697068,
5697068,5697067,
5697067,5697066,
5697066,5697065,
5697065,5697064,
5697064,5697063,
5697063,5697062,
5697062,5697061,
5697061,5697060,
5697060,5697052,
5697052,4129755,
4129755,4129754,
4129754,4129753,
4129753,4129752,
4129752,4129751,
4129751,4129750,
4129750,4129749,
4129749,4129748,
4129748,4129747,
4129747,4129746,
4129746,4129745,
4129745,4124255,
4124255,4124254,
4124254,4124253,
4124253,4124252,
4124252,4124251,
4124251,4124250,
4124250,4124249,
4124249,4124248,
4124248,4124247,
4124247,4124246,
4124246,4124245,
4124245,4124264,5690994,
4124264,4124263,4124266,
4124263,4124262,
4124262,4124261,
4124261,5618125,
5618125,5618124,
5618124,5618123,
5618123,5618122,
5618122,5618121,
5618121,5618120,
5618120,5618119,
5618119,5618118,
5618118,5618117,
5618117,5618116,
5618116,5618115,
5618115,5618114,
5618114,1557867,4134785,
1557867,4134701,1557866,
4134701,4134700,
4134700,4134705,
4134705,4134704,
4134704,4134703,
4134703,4134702,
4134702,1553743,
1553743,3591447,
3591447,3591446,
3591446,3591445,
3591445,3591444,
3591444,3591443,
3591443,3591442,
3591442,3591453,
3591453,3591452,
3591452,3591451,
3591451,3596196,
3596196,3596195,
3596195,3596194,
3596194,3596193,
3596193,3596192,
3596192,3596191,
3596191,3596190,
3596190,3596189,
3596189,3596188,
3596188,3596186,
3596186,1576734,1577355,
1576734,1576738,
1576738,1576737,
1576737,1576757,
1576757,1576756,
1576756,1576755,
1576755,1576754,
1576754,1576753,
1576753,1576752,
1576752,1576751,
1576751,893281,
893281,389336,646514,
389336,389353,6117032,
389353,389896,
389896,389895,
389895,389894,
389894,1576215,
1576215,1576214,1576662,
1576662,6117036,
4115484,6542554,4120380,
6542554,6542553,
6542553,4115459,4120346,
4115459,4115460,
4115460,2158619,
2158619,2158618,
2158618,2158617,
2158617,2892660,
2892660,2892659,
2892659,2892663,
2892663,2892662,
2892662,2892661,
2892661,4145006,
4145006,4145005,
4145005,4145004,
4145004,6066447,
6066447,6066446,
6066446,6066445,
6066445,6066444,
6066444,6066443,
6066443,6155534,
6155534,6155533,
6155533,6155532,
6155532,6155531,
6155531,6155530,
6155530,6155529,
6155529,6155528,
6155528,5605579,
5605579,7021278,
7021278,7021277,
7021277,7021276,
7021276,5963041,
5963041,5963040,
5963040,5963039,
5963039,5963038,
5963038,5963037,
5963037,5963036,
5963036,5963035,
5963035,5963034,
5963034,6229517,
6229517,6229516,
6229516,6229515,
6229515,6229514,
6229514,6229513,
6229513,6229512,
6229512,6229518,
6229518,4130621,
4130621,4130620,
4130620,1575821,
1575821,2218152,
2218152,2218154,
2218154,2218153,
2218153,2143983,
2143983,888989,
888989,888988,
888988,975687,
975687,975686,
975686,1590864,
1590864,1590863,
1590863,889005,
889005,889004,
889004,889003,
889003,889002,
889002,889001,
889001,889000,
889000,888999,
888999,6155610,
6155610,6155609,
6155609,6155608,
6155608,6155607,
6155607,6155606,
6155606,6155605,
6155605,6155604,
6155604,6155603,
6155603,6155602,
6155602,6155601,
6155601,6155600,
6155600,6155599,
6155599,6155598,
6155598,6155597,
6155597,2137111,
2137111,2137110,
2137110,2137109,
2137109,2137108,
2137108,1043462,
1043462,1043461,
1043461,1043460,
1043460,1043459,
1043459,1043458,
1043458,1043457,
1043457,1043456,
1043456,1043455,
1043455,1043454,
1043454,1043453,
1043453,1043452,
1043452,1043451,
1043451,1043450,
1043450,1043449,
1043449,1043448,
1043448,882741,
882741,882740,
882740,882739,
882739,882738,
882738,
891088,891087,
891087,891086,
891086,891085,
891085,2218372,
2218372,2218371,
2218371,2218370,
2218370,2218369,
2218369,2218368,
2218368,2218367,
2218367,2218366,
2218366,2218365,
2218365,2218364,
2218364,2218363,
2218363,2218362,
2218362,2218361,
2218361,2218360,
2218360,2218359,
2218359,2218358,
2218358,2218357,
2218357,2218356,
2218356,2217428,
2217428,2217427,
2217427,2217426,
2217426,2217425,
2217425,2217424,
2217424,2217423,
2217423,2217422,
2217422,2217421,
2217421,2217420,
2217420,1590862,
1590862,1590861,
1590861,1590860,
1590860,1590859,
1590859,1590858,
1590858,1590857,
1590857,1590856,
1590856,1590855,
1590855,1590854,
1590854,1590853,
1590853,1590852,
1590852,1590851,
1590851,1590850,
1590850,1590849,
1590849,1590848,
1590848,1590847,
1590847,888992,
888992,888985,
888985,888986,
888986,888995,
888995,2136946,
2136946,2136947,
2136947,1575823,
1575823,1575822,
1575822,1575818,
1575818,4130628,
4130628,4130627,
4130627,4130626,
